title,caracteristicas_pelicula
Mixed Nuts,"The events focus around a crisis hotline business on one crazy night during the Christmas holidays. 15000000   5.2 37.0 Comedy, Drama, Romance English"
Milk Money,"Three young boys pool their money and pay V, a kindhearted prostitute, to strip for them. Afterward, she drives them home to the suburbs -- but then her car breaks down. It's just as well, though, because a mobster named Waltzer is after her, and V realizes the suburbs are the perfect place to hide. But things get a lot more complicated when V falls in love with Tom, a single father who is unaware of her real profession. 0 You can't get enough of a good thing... But first you have to find it. 5.6 49.0 Comedy, Romance English"
Miracle on 34th Street,"A little girl discovers dreams can come true if you really believe. Six-year-old Susan Walker has doubts about childhood's most enduring miracle - Santa Claus. Her mother told her the 'secret' about Santa a long time ago. But after meeting a special department store Santa who's convinced he's the real thing, Susan is given the most precious gift of all something to believe in. 0 If you really believe, anything can happen. 6.4 199.0 Fantasy, Drama, Family English"
Miami Rhapsody,"Gwyn Marcus has always wanted a marriage like her parents. She has just accepted the proposal of her boyfriend Matt, but she has misgivings about their future together. Her fear of commitment grows as she learns of the various affairs that her family is having. With her sister getting married and her brother already married, her mother is growing concerned about Gwyn's being the last single person in the family. But the more she thinks about marriage, the more she must search for the balance between career, marriage and family. 6 Love is great. Marriage is a completely different affair. 5.6 7.0 Comedy, Romance English"
My Family,"Traces over three generations an immigrant family's trials, tribulations, tragedies, and triumphs. Maria and Jose, the first generation, come to Los Angeles, meet, marry, face deportation all in the 1930's. They establish their family in East L.A., and their children Chucho, Paco, Memo, Irene, Toni, and Jimmy deal with youth culture and the L.A. police in the 50's. As the second generation become adults in the 60's, the focus shifts to Jimmy, his marriage to Isabel (a Salvadorian refugee), their son, and Jimmy's journey to becoming a responsible parent. 5500000 Three generations of dreams. 7.0 11.0 Comedy, Drama English, Español"
Murder in the First,"Inspired by a true story. A petty criminal sent to Alcatraz in the 1930s is caught attempting to make an escape. As punishment he is put in solitary confinement. The maximum stay is supposed to be 19 days, but Henri spends years alone, cold and in complete darkness, only to emerge a madman and soon to be a murderer. The story follows a rookie lawyer attempting to prove that Alcatraz was to blame. 0 The trial that brought down Alcatraz 6.9 140.0 Crime, Drama English"
Nobody's Fool,"Sully is a rascally ne'er-do-well approaching retirement age. While he is pressing a worker's compensation suit for a bad knee, he secretly works for his nemesis, Carl, and flirts with Carl's young wife Toby. Sully's long- forgotten son and family have moved back to town, so Sully faces unfamiliar family responsibilities. Meanwhile, Sully's landlady's banker son plots to push through a new development and evict Sully from his mother's life. 0 In a town where nothing ever happens... everything is about to happen to Sully. 7.0 56.0 Drama, Comedy Český, English, Magyar"
Nell,"In a remote woodland cabin, a small town doctor discovers Nell - a beautiful young hermit woman with many secrets. 31000000 Her heart. Her soul. Her language are a mystery...A mystery called Nell 6.1 128.0 Drama, Thriller English"
New Jersey Drive,"New Jersey Drive is a 1995 film about black youths in Newark, New Jersey, the unofficial ""car theft capital of the world"". Their favorite pastime is that of everybody in their neighborhood: stealing cars and joyriding. The trouble starts when they steal a police car and the cops launch a violent offensive that involves beating and even shooting suspects. 0 The Only Thing That Matters Is The Ride 6.9 7.0 Crime, Drama English"
New York Cop,"Allegedly based on a true story, this film follows the life of Toshi, a Japanese man living in America and working with the New York City police. After being recommended for undercover work, Toshi decides to go after a gang lead by Hawk. Hawk and Toshi soon become friends, although Hawk's second-in-command, Tito, is suspicious of the newcomer. Will Toshi be able to bring the gang down, or will his cover be blown before he can finish the assignment? 0 The toughest city in the world deserves the toughest cop. 0.0 0.0 Action, Thriller, Crime, Drama English, 广州话 / 廣州話"
Beyond Bedlam,An experiment gone awry places a neurologist (Elizabeth Hurley) and a homicide detective (Craig Fairbrass) in a psychopath's (Keith Allen) nightmarish world. 4800000 Psychological Terror Beyond Your Wildest Nightmares 4.0 4.0 Horror English
Nemesis 2 - Nebula,"It has been 73 years since Alex failed and the Humans lost the Cyborg Wars. Since then, the Humans have been enslaved. Scientists have developed a new DNA strain, which could signal the end of the Cyborgs, and they inject it into a volunteer. When the Cyborgs learn of the woman and the baby they list both for termination. 0 The Future Just Got Darker 4.6 10.0 Science Fiction, Action, Thriller English"
Nina Takes a Lover,"Laura San Giacomo stars in this sexy comedy about adultery. When Nina's (San Giacomo) husband goes out of town for several weeks on a business trip, Nina hooks up with a photographer. Told from a reporter's point of view, his interviews with Nina and the photographer provide comic insights. Stars Laura San Giacomo, Paul Rhys, Michael O'Keefe, Fisher Stevens and more. 0 Sometimes you have to break your vow to keep your promise. 7.4 4.0 Drama, Romance English"
Natural Born Killers,"Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media. 34000000 The Media Made Them Superstars. 6.9 927.0 Crime, Thriller, Drama English, , 日本語"
Only You,"A childhood incident has convinced Faith Corvatch that her true love is a guy named ""Damon Bradley,"" but she has yet to meet him. Preparing to settle down and marry a foot doctor, Faith impulsively flies to Venice when it seems that she may be able to finally encounter the man of her dreams. Instead, she meets the charming Peter Wright. But can they fall in love if she still believes that she is intended to be with someone else? 0 A love story written in the stars. 6.4 92.0 Comedy, Drama, Romance English"
Once Were Warriors,"A drama about a Maori family lving in Auckland, New Zealand. Lee Tamahori tells the story of Beth Heke’s strong will to keep her family together during times of unemployment and abuse from her violent and alcoholic husband. 0 A family in crisis, a life in chaos... Nothing is more powerful than a mother's love. 7.6 106.0 Drama English, "
Poison Ivy II: Lily,"A young and naive college art student becomes obsessed with assuming the identity and personality of a departed coed who used to live in her room, and in so doing causes complications that result in two men, a student and her art professor, lusting after her. 0 Passion. Seduction. Betrayal. Lily wanted to be just like Ivy. 4.6 32.0 Drama, Romance, Thriller English"
Outbreak,"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House. 50000000 This animal carries a deadly virus... and the greatest medical crisis in the world is about to happen. 6.4 522.0 Action, Drama, Science Fiction, Thriller English, 한국어/조선말, Français"
Leon: The Professional,"Leon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Leon's footsteps. 16000000 If you want a job done well, hire a professional. 8.2 4293.0 Thriller, Crime, Drama English"
The Perez Family,"In the midst of the Mariel boat lift -- a hurried exodus of refugees from Cuba going to America -- an immigration clerk accidentally presumes that dissident Juan Raul Perez and Dorita Evita Perez are married. United by their last name and a mutual resolve to emigrate, Dorita and Juan agree to play along. But it gets complicated when the two begin falling for each other just as Juan reunites with his wife, Carmela, whom he hasn't seen in decades. 11000000 On the way to finding a family, she found love. 6.6 9.0 Comedy, Drama, Romance English"
A Pyromaniac's Love Story,"A pastry boy and the son of a hair-piece mogul become involved in an arson scandal. Sergio is offered a bribe in exchange for taking the blame for the fire that destroys his workplace. Garet, the real arsonist, is apalled that someone else would try to take credit for his act of love. Before long, Sergio and Garet become entangled in a zany love-quadrangle involving Hattie and Stephanie. Written by Brian Whiting 0   7.0 2.0 Comedy, Drama, Romance English"
Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time. 8000000 Just because you are a character doesn't mean you have character. 8.3 8670.0 Thriller, Crime English, Español, Français"
Panther,Panther is a semi-historic film about the origins of The Black Panther Party for Self-Defense. The movie spans about 3 years (1966-68) of the Black Panther's history in Oakland. Panther also uses historical footage (B/W) to emphasize some points. 0 The People Called Them Heroes. The F.B.I. Called Them Public Enemy Number One. 6.4 6.0 Drama English
Pushing Hands,"The story is about an elderly Chinese tai chi chuan teacher and grandfather who emigrates from Beijing to live with his son, American daughter-in-law, and grandson in a New York City suburb. The grandfather is increasingly distanced from the family as a ""fish out of water"" in Western culture. 400000   6.1 9.0 Comedy, Drama English, 普通话"
Priest,"Father Greg Pilkington (Linus Roache) is torn between his call as a conservative Catholic priest and his secret life as a homosexual with a gay lover, frowned upon by the Church. Upon hearing the confession of a young girl of her incestuous father, Greg enters an intensely emotional spiritual struggle deciding between choosing morals over religion and one life over another. 0 In a world of rituals, in a place of secrets, a man must choose between keeping the faith and exposing the truth. 6.4 32.0 Drama, Romance English"
Quiz Show,"Quiz Show is a 1994 American historical drama film which tells the true story of the Twenty One quiz show scandal of the 1950s. 0 Fifty million people watched but no one saw a thing. 7.1 262.0 History, Drama English"
Picture Bride,"Riyo, an orphaned 17-year old, sails from Yokohama to Hawaii in 1918 to marry Matsuji, a man she has never met. Hoping to escape a troubled past and start anew, Riyo is bitterly disappointed upon her arrival: her husband is twice her age. The miserable girl finds solace with her new friend Kana, a young mother who helps Riyo accept her new life. 0   7.4 5.0 Drama, History , English, 日本語"
Queen Margot,"The night of August 24, 1572, is known as the Massacre of St. Bartholomew. In France a religious war is raging. In order to impose peace a forced wedding is arranged between Margot de Valois, sister of the immature Catholic King Charles IX, and the Hugenot King Henri of Navarre. Catherine of Medici maintains her behind-the-scenes power by ordering assaults, poisonings, and instigations to incest. 0   7.0 67.0 Drama, History Français, Italiano"
The Quick and the Dead,"A mysterious woman comes to compete in a quick-draw elimination tournament, in a town taken over by a notorious gunman. 32000000 Think you are quick enough? 6.2 431.0 Action, Western English"
Roommates,"  22000000   6.4 7.0 Drama, Comedy English"
Prêt-à-Porter,"Paris Fashion Week draws the usual bunch of people; designers, reporters, models, magazine editors, photographers. Follows the various storylines of these characters, centering around a murder investigation of a prominent fashion figure. Features an all-star cast. 15000000 At the world's hottest fashion show, there's been a murder and now everyone's a suspect. If you've got something to hide, you'll need something to wear. 5.3 33.0 Drama, Comedy Français, Italiano, Pусский, Español, English"
Three Colors: Red,"Red This is the third film from the trilogy by Kieślowski. “Red” meaning brotherliness. Here Kieślowski masterly tells strange coincidentally linked stories in the most packed work. 0   7.8 246.0 Drama, Mystery, Romance Français"
Three Colors: Blue,"A woman struggles to find a way to live her life after the death of her husband and child. 0   7.7 311.0 Drama, Music, Mystery Français, Polski"
Three Colors: White,"Polish immigrant Karol Karol finds himself out of a marriage, a job and a country when his French wife, Dominique, divorces him after six months due to his impotence. Forced to leave France after losing the business they jointly owned, Karol enlists fellow Polish expatriate Mikolah to smuggle him back to their homeland. 0   7.3 218.0 Comedy, Drama, Mystery Français, Magyar, Polski"
"Red Firecracker, Green Firecracker","A woman inherits her father's fireworks factory, as he had no son. The business does well and everything works in an orderly fashion until one day, an itinerant painter is hired to decorate the doors and vases at the factory. The woman, forbidden to marry and thereby involve outsiders in the factory ownership, finds herself drawn to the headstrong painter. When they fall in love, the situation throws her entire life into disarray 0   7.0 2.0 Drama 普通话"
Rent-a-Kid,"Harry Habert, owner of a rent office has an original idea: To rent babies from a nearby orphanage to the local families. He rents the Ward brothers to his first customers... 0   5.1 15.0 Comedy, Family, TV Movie English"
Relative Fear,"Linda and Peter Pratman's son Adam is autistic, but they still love him and hope that he'll at least start talking some day. However he's teased and abused by the kids of the neighborhood and his grandpa . When several people around Adam die an unexpected death, his parents start to suspect Adam - is he just simulating to be so ignorant about his environment? 0 Trusting your children can be deadly. 4.7 3.0 Horror, Drama English"
Stuart Saves His Family,"Stuart Smalley, the Saturday Night Live character, comes to the big screen. Stuart, the disciple of the 12 step program, is challenged by lifes injustices. 0   5.0 6.0 Comedy, Drama English"
The Swan Princess,"The beautiful princess Odette is transformed into a swan by an evil sorcerer's spell. Held captive at an enchanted lake, she befriends Jean-Bob the frog, Speed the turtle and Puffin the bird. Despite their struggle to keep the princess safe, these good-natured creatures can do nothing about the sorcerer's spell, which can only be broken by a vow of everlasting love. 35000000 An enchanting classic destined to capture your heart and free your spirit. 6.5 251.0 Animation English"
The Secret of Roan Inish,"10-year-old Fiona is sent to live with her grandparents in a small fishing village in Donegal, Ireland. She soon learns the local legend that an ancestor of hers married a Selkie - a seal who can turn into a human. Years earlier, her baby brother was washed out to sea and never seen again, so when Fiona spies a naked little boy on the abandoned Isle of Roan Inish, she is compelled to investigate.. 0 Between land and sea there is a place where myths are real. 6.1 15.0 Drama, Family, Fantasy English, Gaeilge"
The Specialist,"May Munro is a woman obsessed with getting revenge on the people who murdered her parents when she was still a girl. She hires Ray Quick, a retired explosives expert to kill her parent's killers. When Ned Trent, embittered ex-partner of Quick's is assigned to protect one of Quick's potential victims, a deadly game of cat and mouse ensues. 45000000 The government taught him to kill. Now he's using his skills to help a woman seek revenge against the Miami underworld. 5.5 317.0 Action, Thriller English"
Stargate,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra. 55000000 It will take you a million light years from home. But will it bring you back? 6.8 942.0 Action, Adventure, Science Fiction English, Norsk, svenska"
The Santa Clause,"Scott Calvin is an ordinary man, who accidentally causes Santa Claus to fall from his roof on Christmas Eve and is knocked unconscious. When he and his young son finish Santa's trip and deliveries, they go to the North Pole, where Scott learns he must become the new Santa and convince those he loves that he is indeed, Father Christmas. 22000000 What if your dad was Santa Claus? 6.3 501.0 Fantasy, Drama, Comedy, Family English"
The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope. 25000000 Fear can hold you prisoner. Hope can set you free. 8.5 8358.0 Drama, Crime English"
Shallow Grave,"Three friends discover their new flatmate dead but loaded with cash. 0 The award winning thriller that'll bury you with laughs. 7.0 247.0 Crime, Thriller English"
Suture,"Brothers Vincent (rich) and Clay (poor) meet up for the first time after their father's funeral and remark on how similar they look. But unknown to Clay, who thinks his life is taking a turn for the better, Vince is actually plotting to kill him with a car bomb and pass the corpse off as his own, planning to start a new life elsewhere with his father's inheritance. But Clay survives the blast and has his face, memory and identity restored in hospital... but are they the right ones? 0 A thriller where nothing is black and white. 6.0 7.0 Drama, Thriller English"
Strawberry and Chocolate,"Havana, Cuba, 1979. Flamboyantly gay artist Diego (Jorge Perugorría) attempts to seduce the straight and strait-laced David, an idealistic young communist, and fails dismally. But David conspires to become friends with Diego so he can monitor the artist's subversive life for the state. As Diego and David discuss politics, individuality and personal expression in Castro's Cuba, a genuine friendship develops between the two. But can it last? Strawberry and Chocolate became an instant hit when it was released, and has become a classic of Cuban cinema due to its charming and authentic exploration of a connection between two people under historical circumstances that seem levelled against them. 0   7.1 16.0 Comedy, Drama Español"
Swimming with Sharks,"A young, naive Hollywood studio assistant finally turns the tables on his incredibly abusive producer boss. 0 Life is not a movie 6.7 104.0 Crime, Comedy English"
The Sum of Us,"""The Sum of Us"" is an Aussie story about a father and a son both searching for love and sharing an unconventional bond. Harry, the father, is the caring and open-minded ""mate"" that borders on annoyance. His son Jeff unsuccessfully searches for love, with the unwanted guidance of his father. 32 We're all just . . . The Sum of Us. 6.0 21.0 Comedy, Drama, Romance English"
Senior Trip,"While on detention, a group of misfits and slackers have to write a letter to the President explaining what is wrong with the education system. There is only one problem, the President loves it! Hence, the group must travel to Washington to meet the Main Man. 0 Stupid tricks. Outrageous chaos. Total destruction. They're taking it on the road. 5.7 23.0 Comedy English, Deutsch"
To Live,"Fugui and Jiazhen endure tumultuous events in China as their personal fortunes move from wealthy landownership to peasantry. 0   7.7 62.0 Drama, Romance, War 普通话"
Tank Girl,"Based on the British cult comic-strip, our tank-riding anti-heroine fights a mega-corporation, which controls the world's water supply. 25000000 In 2033, justice rides a tank and wears lip gloss. 5.5 140.0 Action, Comedy, Fantasy, Science Fiction English"
Tales from the Crypt: Demon Knight,"A man on the run is hunted by a demon known as the Collector. 0 Ready for your deadtime story? 6.7 96.0 Horror, Comedy, Thriller English"
Star Trek: Generations,"Captain Jean-Luc Picard and the crew of the Enterprise-D find themselves at odds with the renegade scientist Soran who is destroying entire star systems. Only one man can help Picard stop Soran's scheme...and he's been dead for seventy-eight years. 38000000 Boldly go. 6.4 461.0 Science Fiction, Action, Adventure, Thriller English"
Tales from the Hood,"A strange funeral director tells four strange tales of horror with an African American focus to three drug dealers he traps in his place of business. 6000000 Chill or be Chilled 5.4 33.0 Crime, Horror, Thriller English"
Tom & Viv,"The story of the marriage of the poet TS Eliot to socialite Vivienne Haigh-Wood, which had to cope with her gynaeological and emotional problems and his growing fame. 0 For better, for worse, forever. 5.8 8.0 Drama, Romance English"
Village of the Damned,"An American village is visited by some unknown life form which leaves the women of the village pregnant. Nine months later, the babies are born, and they all look normal, but it doesn't take the ""parents"" long to realize that the kids are not human or humane. 0 Beware the Children 5.6 165.0 Thriller, Horror, Science Fiction English"
Tommy Boy,"Party animal Tommy Callahan is a few cans short of a six-pack. But when the family business starts tanking, it's up to Tommy and number-cruncher Richard Hayden to save the day. 0 If at first you don't succeed, lower your standards. 6.8 321.0 Comedy English"
Vanya on 42nd Street,"An uninterrupted rehersal of Chekhov's ""Uncle Vanya"" played out by a company of actors. The setting is their run down theater with an unusable stage and crumbling ceiling. The play is shown act by act with the briefest of breaks to move props or for refreshments. The lack of costumes, real props and scenery is soon forgotten. 0   6.1 15.0 Drama, Romance English"
The Underneath,"Michael Chambers has come home to Austin, Texas. To the mother who's starting a new life and the brother driven by old jealousies. To the places he remembers and the memories he can't forget. And to Rachel, the woman he married and then betrayed with his passion for gambling. Now she's together with Tommy Dundee, a man no one trifles with. He takes care of her in a way Michael never could, but there's a price for his attention and Rachel knows this. And when Michael devises a plan to get Rachel out from under Tommy's control, they become entangled in a web of intrigue, danger and desire from which no one escapes unscathed. 6500000 For passion, betrayal and murder... there's still no place like home. 5.6 15.0 Thriller, Crime English"
The Walking Dead,"Five young marines on a suicide mission in Vietnam, struggle for survival in a jungle minefield. The mean streets of home did not prepare them for this. 0 Surviving the streets was just a rehearsal. 6.6 4.0 Drama, War English"
What's Eating Gilbert Grape,"Gilbert has to care for his brother Arnie and his obese mother, which gets in the way when love walks into his life. 11000000 A film about the love you find...In the last place you look. 7.5 943.0 Romance, Drama English"
Virtuosity,"The Law Enforcement Technology Advancement Centre (LETAC) has developed SID version 6.7: a Sadistic, Intelligent, and Dangerous virtual reality entity which is synthesized from the personalities of more than 150 serial killers, and only one man can stop him. 30000000 Justice needs a new program. 5.4 163.0 Action, Crime, Science Fiction, Thriller English"
While You Were Sleeping,"A love story built on a misunderstanding. A transit worker pulls commuter Peter off the tracks after he's mugged. But while he's in a coma, his family mistakenly thinks she's Peter's fiancée, and she doesn't correct them. Things get more complicated when she falls for his brother, who's not quite sure that she's who she claims to be. 17000000 A story about love at second sight. 6.5 340.0 Comedy, Drama, Romance English"
The War,The son of a Vietnam War Veteran must deal with neighborhood bullies as well as his dad's post-traumatic stress disorder while growing up in the deep south in the 1970's. 0   6.3 39.0 Drama English
Double Happiness,"Jade Li is a feisty, 20-something Chinese Canadian, trying to achieve that happy medium between giving in to her parent's wishes and fulfilling her own needs and desires - double happiness. Naturally, something's got to give and when love beckons in the shape of Mark, a white university student, the facade of the perfect Chinese daughter begins to slip. 0 You've got one life to live. What's it gonna be? 5.5 2.0 Comedy, Romance 广州话 / 廣州話, English"
Muriel's Wedding,"Muriel’s Wedding is P.J. Hogan’s film debut. A humorous emancipation story of an unemployed woman who evolves from a dreamer into a self sustaining successful woman. An amusing comedy that’s funny, silly, angry and serious. 3000000 Success is the best revenge. 6.9 104.0 Drama, Comedy, Romance English"
The Baby-Sitters Club,"It's the story about seven very different best friends, and one summer that will bring them together like never before. 0 Friends Forever 5.3 23.0 Comedy, Drama, Family English"
Ace Ventura: Pet Detective,"He's Ace Ventura: Pet Detective. Jim Carrey is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark, stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover, under fire or underwater, he always gets his man . . . or beast! 15000000 He's the best there is! (Actually, he's the only one there is.) 6.4 1684.0 Comedy, Mystery English"
"The Adventures of Priscilla, Queen of the Desert","Two drag-queens and a transsexual contract to perform a drag show at a resort in Alice Springs, a resort town in the remote Australian desert. They head west from Sydney aboard their lavender bus, Priscilla. En route, it is discovered that the woman they've contracted with is the wife of one of the drag queens. Their bus breaks down, and is repaired by Bob, who travels on with them. 0 She's back... Looking as gorgeous and outrageous as ever in a brand new frock. 7.2 174.0 Drama, Comedy English"
Backbeat,"Chronicles the early days of The Beatles in Hamburg, Germany. The film focuses primarily on the relationship between Stuart Sutcliffe (played by Stephen Dorff) and John Lennon (played by Ian Hart), and also with Sutcliffe's German girlfriend Astrid Kirchherr (played by Sheryl Lee). 0   6.2 37.0 Drama, Music English, Français, Deutsch, Pусский"
Bitter Moon,"An embittered husband, paralyzed and in a wheelchair, buttonholes a complete stranger and begins to tell him the story of his marriage. The stranger would like to escape, but cannot. For one thing he grows fascinated by the story. For another he is mesmerized by the man's wife, who has perfected that trick of looking a man boldly in the eye until, by looking away, he concedes sexual supremacy. 5000000 A kinky voyage with a full head of steam. 7.0 115.0 Thriller, Drama, Romance Français, English"
Bullets Over Broadway,"Set in 1920's New York City, this movie tells the story of idealistic young playwright David Shayne. Producer Julian Marx finally finds funding for the project from gangster Nick Valenti. The catch is that Nick's girl friend Olive Neal gets the part of a psychiatrist, and Olive is a bimbo who could never pass for a psychiatrist as well as being a dreadful actress. Agreeing to this first compromise is the first step to Broadway's complete seduction of David, who neglects longtime girl friend Ellen. Meanwhile David puts up with Warner Purcell, the leading man who is a compulsive eater, Helen Sinclair, the grand dame who wants her part jazzed up, and Cheech, Olive's interfering hitman / bodyguard. Eventually, the playwright must decide whether art or life is more important. 0   7.0 130.0 Action, Comedy, Thriller English"
Clear and Present Danger,"CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel. 62000000 The war of drugs would lead him to the war of power. 6.4 390.0 Action, Drama, Thriller English"
The Client,"A street-wise kid, Mark Sway, sees the suicide of Jerome Clifford, a prominent Louisiana lawyer, whose current client is Barry 'The Blade' Muldano, a Mafia hit-man. Before Jerome shoots himself, he tells Mark where the body of a Senator is buried. Clifford shoots himself and Mark is found at the scene, and both the FBI and the Mafia quickly realize that Mark probably knows more than he says. 45000000 A district attorney out for a conviction. A new lawyer out of her league. A young boy who knew too much. 6.4 287.0 Drama, Thriller, Crime, Mystery English"
"Corrina, Corrina","When Manny Singer's wife dies, his young daughter Molly becomes mute and withdrawn. To help cope with looking after Molly, he hires sassy housekeeper Corrina Washington, who coaxes Molly out of her shell and shows father and daughter a whole new way of life. Manny and Corrina's friendship delights Molly and enrages the other townspeople. 0   6.4 83.0 Comedy, Drama, Family, Romance English, Français"
Crooklyn,"From Spike Lee comes this vibrant semi-autobiographical portrait of a school-teacher, her stubborn jazz-musician husband and their five kids living in '70s Brooklyn. 0   6.7 31.0 Comedy, Drama English"
The Crow,"Exactly one year after young rock guitarist Eric Draven and his fiancée are brutally killed by a ruthless gang of criminals, Draven -- watched over by a hypnotic crow -- returns from the grave to exact revenge. 15000000 Real love is forever. 7.3 980.0 Fantasy, Action, Thriller English"
Cobb,"Al Stump is a famous sports-writer chosen by Ty Cobb to co-write his official, authorized 'autobiography' before his death. Cobb, widely feared and despised, feels misunderstood and wants to set the record straight about 'the greatest ball-player ever,' in his words. 0 Everyone hated this baseball legend. And he loved it. 6.1 29.0 Drama English"
The Flintstones,"Modern Stone Age family the Flintstones hit the big screen in this live-action version of the classic cartoon. Fred helps Barney adopt a child. Barney sees an opportunity to repay him when Slate Mining tests its employees to find a new executive. But no good deed goes unpunished. 46000000 Yabba-Dabba-Doo! 5.0 559.0 Fantasy, Comedy, Family English"
Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability. 55000000 The world will never be the same, once you've seen it through the eyes of Forrest Gump. 8.2 8147.0 Comedy, Drama, Romance English"
Four Weddings and a Funeral,"Four Weddings And A Funeral is a British comedy about a British Man named Charles and an American Woman named Carrie who go through numerous weddings before they determine if they are right for one another. 6000000 Five good reasons to stay single. 6.6 654.0 Comedy, Drama, Romance English"
Higher Learning,"Malik (Omar Epps) is an African-American student attending on a track scholarship; academics are not his strong suit, and he goes in thinking that his athletic abilities will earn him a free ride through college. Fudge (Ice Cube), a ""professional student"" who has been at Columbus for six years so far, becomes friendly with Malik and challenges his views about race and politics in America. 0   6.4 49.0 Romance, Drama, Crime English"
I Like It Like That,"Lisette and husband Chino face marital difficulties. She is fed up with the kids, while he has job troubles. His mother Rosaria hates Lisette and the neighborhood tramp has designs on Chino. Things get even worse when Chino goes to jail and Lisette gets a good job uptown. Can this marriage be saved? 0 For Lisette, everyday has become independence day. 6.3 4.0 Comedy, Drama, Romance English, Español"
I Love Trouble,"Rival Chicago reporters Sabrina Peterson (Roberts) and Peter Brackett (Nolte) reluctantly join forces to uncover a train wreck conspiracy and bite off more than they can chew while pursuing the story and bickering along the way - and falling in love, despite the fact that he's many years older than she.Sabrina is an ambitious, gifted reporter willing to do whatever it takes to learn the truth about the train accident, which leads her into conflict, then reluctant partnership, with fading star newsman Peter who works for a rival paper. He is her polar opposite: he chases women, smokes cigars, and has just published his first novel. During their pursuit of the story, Peter and Sabrina clash over virtually everything - he also subjects Sabrina to indecent exposure in front of a group of boy scouts after he catches her skinny dipping. 45000000 Romance Was Never More Dangerous! 5.3 41.0 Action, Comedy, Romance English, Français"
It Could Happen to You,"Charlie Lang is a simple, kindhearted New York City cop. When he realizes he has no money to tip waitress Yvonne Biasi, Lang offers her half the winnings of his lottery ticket. Amazingly, the ticket happens to be a winner, in the sum of $4 million. True to his word, Lang proceeds to share the prize money with Biasi, which infuriates his greedy wife, Muriel. Not content with the arrangement, Muriel begins scheming to take all the money. 0 A cop. A waitress. A lottery ticket. 6.1 154.0 Comedy, Drama, Romance English"
The Jungle Book,"Raised by wild animals since childhood, Mowgli is drawn away from the jungle by the beautiful Kitty. But Mowgli must eventually face corrupt Capt. Boone, who wants both Kitty's hand and the treasures of Monkey City – a place only Mowgli can find. 0   5.9 107.0 Adventure, Drama, Family English, Slovenčina"
"The Wonderful, Horrible Life of Leni Riefenstahl","This documentary recounts the life and work of one of most famous, and yet reviled, German film directors in history, Leni Riefenstahl. The film recounts the rise of her career from a dancer, to a movie actor to the most important film director in Nazi Germany who directed such famous propaganda films as Triumph of the Will and Olympiad. The film also explores her later activities after Nazi Germany's defeat in 1945 and her disgrace for being so associated with it which includes her amazingly active life over the age of 90. 0   7.3 5.0 Documentary, Foreign Deutsch"
The Lion King,"A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it. 45000000 Life's greatest adventure is finding your place in the Circle of Life. 8.0 5520.0 Family, Animation, Drama English"
Little Buddha,"Little Buddha is a movie about the life of Siddhartha starring Keanu Reeves and Bridget Fonda and directed by Bernardo Bertolucci. 35000000 A magical journey to a place where the past and present meet 6.0 76.0 Drama, History English"
New Nightmare,"Freddy's back … and he's badder than ever! Nancy, the historical nemesis of the man with the satanic snarl and pitchfork fingers, discovers that a new monstrous demon has taken on Freddy's persona. Can Nancy stop this new threat in time to save her son? 14000000 One, Two, Freddy's coming for you... 6.4 297.0 Horror, Thriller, Mystery, Fantasy English"
The Mask,"When timid bank clerk Stanley Ipkiss discovers a magical mask containing the spirit of the Norse god Loki, his entire life changes. While wearing the mask, Ipkiss becomes a supernatural playboy exuding charm and confidence which allows him to catch the eye of local nightclub singer Tina Carlyle. Unfortunately, under the mask's influence, Ipkiss also robs a bank, which angers junior crime lord Dorian Tyrell, whose goons get blamed for the heist. 23000000 From zero to hero. 6.6 2550.0 Romance, Comedy, Crime, Fantasy svenska, English"
